"original_creator","creations","max_depth"
"0x673f0adc28bc674b625206d37c09c9e56f8e0346",40533,2
"0x75d4bdbf6593ed463e9625694272a0ff9a6d346f",39664,2
"0xa2aa74d8542a917a51601f0105e03febbde52eed",39505,2
"0x2c33864a98c502f8b50a939b5af1af72e441b940",39306,2
"0x0536806df512d6cdde913cf95c9886f65b1d3462",39033,1
"0xfde9292293171fa4ed63f05cff414f2db414cc55",38578,2
"0x1aa7451dd11b8cb16ac089ed7fe05efa00100a6a",38417,4
"0x3f1e01f65cac6cdb60ef5f7fc8f988f042949a2c",37945,2
"0x95271d54d6e0d88b3825f89a766f97b8b7e8af82",37517,2
"0x27e80db1f5a975f4c43c5ec163114e796cdb603d",37438,2
"0x8aab375c1a880c9400371dabf5616d568eba2b47",37327,2
"0x866f649cd9280d3dfa282372a3f5828839944959",36723,1
"0xddc50252a3080d5028d1c25261f78f023e9117d5",34674,2
"0x6b9ca9f0fbea46ecf0efd71262ae576fc523cb3b",34568,2
"0x0001bd3a3c6d13d9d0a14f306038f7638bf6b16c",34210,2
"0x58f56615180a8eea4c462235d9e215f72484b4a3",33767,1
"0x681017efe698b36ee9d40c5dfad392af0964ebf8",33175,2
"0x4ef221f76f046f3cfa3f739c9dcd368d59df99da",32787,2
"0xddb108893104de4e1c6d0e47c42237db4e617acc",32625,3
"0x9c130d47271261d3ffc86eb9204c43959e2de5df",32583,2
"0xaa06234a864105b6191aad445e7ca1f79a8d5e96",31896,1
"0x3eb52e71b1e73c5651faabbadbcc2693f918ac3a",30501,2
"0x81f5f7bf0afe2afb9d7d6a21f4fea1fb888e79cf",30440,2
"0x3b476a3c49ead380967bb7eac4445e86a653c917",30338,2
"0x2a77af338e960801626543408435585ca79f8b80",30003,2
"0x6c9fc64a53c1b71fb3f9af64d1ae3a4931a5f4e9",29724,2
"0xfecf51792263e3d2615df7f390262504199d7022",28834,2
"0xfc27d22ddb8ac6e0575db89e0eaefa0537e5b718",28752,2
"0x74a3868811ee9f88f57e3bc7a7c28689774b2c9b",28426,2
"0xaae659ab622f29274334516c5432983dcaeffe54",28135,2
"0x1835897066b44fed55cdb8d38ace71955ad0ebe6",27876,2
"0x0a6f3896f60b30f81762bddb640a800fbcd83a29",27132,2
"0x49678aab11e001eb3cb2cbd9aa96b36dc2461a94",26784,2
"0xab11204cfeaccffa63c2d23aef2ea9accdb0a0d5",26782,1
"0x174443351e21d47ed9ab51517a301107d92ede64",26589,1
"0x9c88c3d6b1952b7533f85215aead1c2eea110637",26473,2
"0xf2015a9160c9c9381ff99f19fc18e5af57cac8ed",25561,1
"0xeea5e6ea5998928352cf54425819436f80f95ae9",25093,1
"0x50ac3b1b1ec8cda119f698faf5769b57fd1d45bf",25046,2
"0xde3eddaecd3388b145cc70a885c4f1b29332b05a",24411,2
"0xc7f82452755dfdb32e5a3e78844f8912cb022df1",23803,2
"0xa2635b3d63b4e31976419865e1a81553bb347be3",23579,1
"0xbd6240e8e1471e9ec91825699e8810edd9b59cfa",23555,2
"0x8602f7b5602b38b1e30a9d36c63bea7dc02c8410",23424,2
"0x6cb44bab280eaa2d6fb8e798d0081dbf1ccea50f",23331,2
"0x88a80b35014fe7c33b4568cb818f2e16ba799b23",23257,3
"0x98257a73b02857679aac5b76f550d39d1c2d16c5",23182,2
"0x40b718295c68f15037a66aeb19e8c3cf9cb6a425",23023,2
"0xffbfdb803d38d794b5785ee0ac09f83b429d11b5",22832,2
"0xe35f12181a2748285358b63cff25887410d0804b",22570,1
"0x32b56fc48684fa085df8c4cd2feaafc25c304db9",22491,2
"0xd570df2ff020b833fc7b00c87ff21156e4ad488d",22397,2
"0xf2d6f6a52bde436321ff23b1ab124b216cb5f532",22376,2
"0x8f8676d434c5d958f615ae66a68cadbb7510ce26",21924,2
"0xc280ac0b1b91d1d9cc1fe42f7725d053fd7b4978",21747,4
"0x09862ed5908c0a336f9f92e5ffeb9768deac6091",21637,1
"0xead6be34ce315940264519f250d8160f369fa5cd",21173,1
"0x4fd1719fc6a104c1884125e754b04e3540136425",21134,2
"0xd82369aaec27c7a749afdb4eb71add9e64154cd6",20962,2
"0x4cb3fd420555a09ba98845f0b816e45cfb230983",20257,4
"0xd6c9710363cdb12eb585e817f431d44cfa442dde",19995,1
"0x307890ce363fdb31f83ac7d9bb06d1c64bcc793e",19669,2
"0xe1cb04a0fa36ddd16a06ea828007e35e1a3cbc37",19354,6
"0xf3ad24dec5fb69b5907664b1e541e120f8135664",19339,2
"0x865184ae3cf9d7ffb9b9e37c6be97eec9ad51f6f",19163,2
"0xad5723c4f7b4c478e09688f96a7a477b0d1196fd",19161,2
"0x0e95adb39a2dfe1c8f3969de4480a5d3ddfadebd",18694,2
"0x5eb54adcfc5cab3a38bb1fdc9242ebc6c930f651",18460,2
"0xb64cb43be59120972fb508a8171137c38b83eeea",18318,2
"0xa9a8bdaefb34ea98be19badb76bb686136412473",18268,1
"0xee223b2c6e49ae6f235a2b928c355454152d6ecc",18227,2
"0x7ff32570f8527fa84e927bcc557c62671a7d5c51",18189,2
"0x6b59210ade46b62b25e82e95ab390a7ccadd4c3a",18101,1
"0xf447be386164dadfb5d1e7622613f289f17024d8",18060,3
"0x21d25d0324d8355c96205c18945500c6eb999bbb",17654,2
"0xdd95aef3fb43d5e4f8b103227e2868e5d4e20fc8",17527,2
"0x93f7c56f75575ddce87b3dccb3a2629dcd7a4717",17501,2
"0x731e6cc591b055001ccb9758008f636819df6152",17403,1
"0x38a0a3dfc0db830e47c8a55d9962a43c98660a69",17389,3
"0x9837103896199878cad21a42015ce0513fc2e80e",17230,2
"0x060e3badf18a10255cb4e6f9a25baee44c70df44",17108,2
"0x43ceb4fb619109e5e373470bfff374d00a978657",16741,2
"0xd0d0fb67d2a37de67e1a794230bff37ee16737da",16665,1
"0x91d805fe733d80d86f7e6dfa22259decc9b16628",16593,2
"0x0000db5c8b030ae20308ac975898e09741e70000",16333,2
"0x83b4c3b2d3ebfc6cfac4e2387d96c5f62942da04",16227,3
"0xa4c542fc03ab644b35d0ef51bc3c58380f78b7c5",16178,2
"0x8a2760e9ff6c76949119b94b22b2bfc64c91c44a",16023,2
"0x25ba0c888dab435a6e155f9cfa9bfcec704ad3f1",15449,2
"0x99ac4df218ea034eb28f9947119f0fa063088372",15415,2
"0x0063397c091c1505532f8451c2e94570d8a8ef6e",15152,2
"0xa54d7d28bba53f816b2d8cf306aa985ddfc427e7",15001,2
"0xcf40d0d2b44f2b66e07cace1372ca42b73cf21a3",14895,1
"0x36b01066b7fa4a0fdb2968ea0256c848e9135674",14390,1
"0x9a5db5caa0c21a780da5645402484150d74edc77",14363,2
"0x4e3a20de4dc3baca80ace5e92e75c92d7fed40f1",14247,1
"0x5735fbac26bb21ca3c5228022cc382136038087c",14009,2
"0x099b1d292689be58f498f127f4e08fe4f0969bce",13914,2
"0x08c0278137ddae2c6cddb96f646a9954553ddbe1",13911,2
"0xf7f888fc1f7c59f35f72600b3f9d49c6e3d014de",13582,2
"0xccc2ceec129f0f301c1e5c7bd8885a3bcccb46fe",13417,2
"0x48d466b7c0d32b61e8a82cd2bcf060f7c3f966df",13290,1
