address,label
0xB1552C5e96B312d0Bf8b554186F846C40614a540,Chainlink wstETH/stETH exchange rate on Arbitrum (proxy)
0xe59EBa0D492cA53C6f46015EEa00517F2707dc77,Chainlink wstETH/stETH exchange rate on Optimism (proxy)
0x4b3EDb22952Fb4A70140E39FB1adD05A6B49622B,Early Stakers Airdrop
0x753D5167C31fBEB5b49624314d74A957Eb271709,Curve Liquidity Farming (Manager Contract)
0x99ac10631f69c753ddb595d074422a0922d9056b,Curve Liquidity Farming (Reward Contract)
0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,Curve Liquidity Farming (Pool Contract)
0x86F6c353A0965eB069cD7f4f91C1aFEf8C725551,Balancer LP rewards v3 (Manager Contract)
0xC20129f1dd4DFeD023a6d6A8de9d54A7b61af5CC,Arbitrum Curve rewards manager (Manager Contract)
0xD420d6C8aA81c087829A64Ce59936b7C1176A81a,Optimism Curve rewards manager (Manager Contract)
0xA2F987A546D4CD1c607Ee8141276876C26b72Bdf,AnchorVault (proxy)
0x9530708033E7262bD7c005d0e0D47D8A9184277d,AnchorVault (impl)
0x707f9118e33a9b8998bea41dd0d46f38bb963fc8,bETH token
0x1982b2F5814301d4e9a8b0201555376e62F82428,AStETH (proxy)
0xbd233D4ffdAA9B7d1d3E6b18CCcb8D091142893a,AStETH (impl)
0x66457616dd8489df5d0afd8678f4a260088aaf55,StableDebtStETH (proxy)
0x8180949ac41EF18e844ff8dafE604a195d86Aea9,StableDebtStETH (impl)
0xa9deac9f00dc4310c35603fcd9d34d1a750f81db,VariableDebtStETH (proxy)
0xDe2c414b671d2DB93617D1592f0490c13674de24,VariableDebtStETH (impl)
0xff04ed5f7a6C3a0F1e5Ea20617F8C6f513D5A77c,DefaultReserveInterestRateStrategy
0x1bdfFe0EBef3FEAdF2723D3330727D73f538959C,Tokens recoverer for Manager contracts (Reward Programs)
0xDA1DF6442aFD2EC36aBEa91029794B9b2156ADD0,Token Reward Program (TRP) VestingEscrowFactory
0x3e2D251275A92a8169A3B17A2C49016e2de492a7,STETH→DAI
0xf4F6A03E3dbf0aA22083be80fDD340943d275Ea5,STETH→USDC
0x7C2a1E25cA6D778eCaEBC8549371062487846aAF,STETH→USDT
0x79f5E20996abE9f6a48AF6f9b13f1E55AED6f06D,DAI→USDC
0x8Ba6D367D15Ebc52f3eBBdb4a8710948C0918d42,DAI→USDT
0x281e6BB6F26A94250aCEb24396a8E4190726C97e,USDT→USDC
0x64B6aF9A108dCdF470E48e4c0147127F26221A7C,USDT→DAI
0x278f7B6CBB3Cc37374e6a40bDFEBfff08f65A5C7,USDC→USDT
0x2B5a3944A654439379B206DE999639508bA2e850,USDC→DAI
0xF0211b7660680B49De1A7E9f25C65660F0a13Fea,EasyTrack
0xFE5986E06210aC1eCC1aDCafc0cc7f8D63B3F977,EVMScriptExecutor
0x55032650b14df07b85bF18A3a3eC8E0Af2e028d5,Curated Node Operators staking module (registry)
0xFeBd8FAC16De88206d4b18764e826AF38546AfE0,IncreaseNodeOperatorStakingLimit
0xaE7B191A31f627b4eB1d4DaC64eaB9976995b433,Simple DVT staking module (registry)
0x08637515E85A4633E23dfc7861e2A9f53af640f7,Simple DVT staking module (committee ms)
0xcAa3AF7460E83E665EEFeC73a7a542E5005C9639,AddNodeOperators
0xCBb418F6f9BFd3525CE6aADe8F74ECFEfe2DB5C8,ActivateNodeOperators
0x8B82C1546D47330335a48406cc3a50Da732672E7,DeactivateNodeOperators
0xD75778b855886Fc5e1eA7D6bFADA9EB68b35C19D,SetVettedValidatorsLimits
0x7d509BFF310d9460b1F613e4e40d342201a83Ae4,SetNodeOperatorNames
0x589e298964b9181D9938B84bB034C3BB9024E2C0,SetNodeOperatorRewardAddresses
0x161a4552a625844c822954c5acbac928ee0f399b,UpdateTargetValidatorLimits
0xE31A0599A6772BCf9b2bFc9e25cf941e793c9a7D,ChangeNodeOperatorManager
0xdA7dE2ECdDfccC6c3AF10108Db212ACBBf9EA83F,Community Staking Module (module)
0xC52fC3081123073078698F1EAc2f1Dc7Bd71880f,Community Staking Module (committee ms)
0xF6B6E7997338C48Ea3a8BCfa4BB64a315fDa76f4,CSMSettleElStealingPenalty
0x17F6b2C738a63a8D3A113a228cfd0b373244633D,PML (Pool Maintenance Labs Ltd.)
0x9B1cebF7616f2BC73b47D226f90b01a7c9F86956,ATC (Argo Technology Consulting Ltd.)
0xDE06d17Db9295Fa8c4082D4f73Ff81592A3aC437,RCC (Resourcing and Compensation Committee)
0x87D93d9B2C672bf9c9642d853a8682546a5012B5,Liquidity Observation Lab (Ethereum)
0x12a43b049A7D330cB8aEAB5113032D18AE9a9030,LEGO Committee
0xe2A682A9722354D825d1BbDF372cC86B2ea82c8C,Rewards Share Committee
0x98be4a407Bff0c125e25fBE9Eb1165504349c37d,Relay Maintenance Committee
0x834560F580764Bc2e0B16925F8bF229bb00cB759,Token Reward Program (TRP) Committee
0xa02FC823cCE0D016bD7e17ac684c9abAb2d6D647,Treasury Committee
0x5181d5D56Af4f823b96FE05f062D7a09761a5a53,Gas Supply Committee
0x14CeF290c79fc84FDDfDf4129Ba335972aAc7F41,Lido Subgraph NFT owner
0x73b047fe6337183A454c5217241D780a932777bD,Ethereum (Emergency Brakes Multisigs)
0x87D93d9B2C672bf9c9642d853a8682546a5012B5,Liquidity Observation Lab (Ethereum - Multisigs)
