"addresses_called","frequency"
19,205759
7,8830933
59,3754
205,1037
130,122
108,210
146,18
201,5
1,109176
143,33
190,9
246,1
37,40711
42,14660
46,7509
49,6785
204,678
128,355
186,5
142,20
167,20
175,24
281,4
223,12
419,2
250,2
971,1
222,1
30,53259
284,8
305,789
165,84
424,1
237,4
307,1
48,7000
72,1633
45,10431
127,115
107,225
256,5
193,6
272,8
214,6
226,1
395,3
26,65056
103,10135
35,35277
85,481
194,10
138,167
147,45
277,2
414,1
202,8
253,4
537,1
257,1
428,1
61,2163
117,262
56,6326
183,208
95,440
304,66
164,16
198,4
97,396
50,6790
170,9
288,3
166,10
426,1
425,1
14,1028564
102,299
274,7
241,23
231,6
986,1
233,5
393,1
9,5076636
38,15458
90,488
129,517
87,457
109,396
158,48
141,27
64,3156
99,367
154,617
169,17
152,32
157,21
228,2
197,4
265,4
335,1
403,4
16,523048
71,1419
98,558
92,525
353,9
355,18
503,1
276,5
192,7
168,10
225,6
182,5
299,1
301,2
230,2
242,3
409,1
79,775
211,5
120,155
135,298
285,14
270,14
254,5
415,3
314,1
53,6303
55,6316
22,127915
58,4874
76,893
244,907
278,2
239,3
310,1
27,58772
60,3180
144,55
206,6
417,3
351,3
260,1
235,5
373,1
432,1
18,282038
36,20453
44,11318
96,378
203,1388
115,255
160,17
163,55
148,24
286,1
421,1
217,2
5,31099196
23,139499
51,5907
57,4892
67,1688
111,362
171,124
162,21
208,4
320,2
4,37233084
75,1059
94,457
140,214
176,6
29,90921
33,33918
43,12706
62,2112
189,19
196,2
275,13
213,4
215,12
219,5
405,3
675,1
70,3138
93,396
243,598
123,362
221,2
411,3
212,2
17,316566
68,1590
78,1077
255,29
161,25
440,1
291,1
8,6348910
12,2092309
32,33357
66,2149
41,21970
74,1447
105,7253
153,100
134,114
112,297
227,3
234,4
2,36546740
47,8514
224,9
179,16
343,3
24,101055
177,11
101,644
113,208
100,302
280,6
199,8
337,1
28,77142
10,3787193
89,468
121,331
172,233
133,556
155,461
82,577
229,4
173,8
137,55
54,8016
116,177
84,785
174,19
63,2122
122,209
151,49
184,39
178,10
188,5
191,4
283,4
210,2
410,1
282,2
65,1800
34,24741
125,161
156,22
114,274
207,5
200,2
209,8
1005,4
505,4
397,1
13,1365003
15,619658
20,198403
132,21957
40,14536
52,6715
83,692
104,9767
195,13
150,46
180,23
420,1
259,2
340,1
21,147523
73,1280
131,3913
124,865
145,53
110,892
126,116
149,23
303,28
181,38
216,1
251,2
325,2
298,1
252,1
6,14251993
118,177
91,549
86,442
139,45
232,2
81,565
295,2
248,1
302,5
268,1
25,84440
3,10435455
31,37047
69,1442
245,53
220,3
187,5
506,1
326,1
705,2
11,1705015
119,240
39,21277
136,98
77,1097
88,507
80,673
106,232
261,134
159,20
185,12
413,2
218,1
490,1
